商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,手续费率
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210412-487273268173833,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"火焰熊黑+时来运转黑,5XL 建议200-230斤",795750293599	,	,无售后或售后取消,	,	,2021-04-12 00:53:01,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210412-152714609850106,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,221854380009	,"S011反光黑+后背彩虹黑,8XL 建议310-350斤",800112990278	,	,无售后或售后取消,	,	,2021-04-12 00:52:12,否,	,	,	
2021新款夏季港风上衣t恤男潮流韩版百搭加肥加大码短袖男学生t恤,210412-071529923530441,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220727859459	,"T87蓝+T81黑,L 建议100-115斤",797511348052	,	,无售后或售后取消,	,	,2021-04-12 00:50:47,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210412-101557208050573,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,219896665455	,"字母W黑,2XL 建议130-150斤",795750293404	,	,无售后或售后取消,	,	,2021-04-12 00:49:54,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210412-228404757561194,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"字母W白+时来运转黑,6XL 建议230-250斤",795750293564	,	,无售后或售后取消,	,	,2021-04-12 00:49:33,否,	,	,	
国潮2021新款加肥加大码宽松胖子男装t恤白色体恤男生学生运动t恤,210412-611048490021049,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219894535890	,"恶魔笑脸黑+W15白,9XL 建议290-320斤",795744952221	,	,无售后或售后取消,	,	,2021-04-12 00:46:36,否,	,	,	
2021新款日系阔腿裤男士大码束脚裤透气舒适学生加肥加大码运动裤,210412-045932872953954,待发货,58.9	,0.0	,0.0	,58.9	,58.9	,1	,	,	,221854380009	,"S011反光灰+后背彩虹灰,7XL 建议270-310斤",800112990247	,	,无售后或售后取消,	,	,2021-04-12 00:40:40,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210412-635967898730323,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"字母W黑+时来运转黑,8XL 建议270-290斤",795750293518	,	,无售后或售后取消,	,	,2021-04-12 00:40:09,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210412-054882468843412,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G28白+G30黑,3XL 建议150-180斤",798235364718	,	,无售后或售后取消,	,	,2021-04-12 00:35:42,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210412-432479929390037,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,221069532188	,"G23黑+G28白,6XL 建议240-270斤",798235364673	,	,无售后或售后取消,	,	,2021-04-12 00:29:20,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210412-085853471982288,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,221069532188	,"G28黑,3XL 建议150-180斤",798235364606	,	,无售后或售后取消,	,	,2021-04-12 00:25:02,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210412-345916048463411,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,219896665455	,"字母W白+时来运转黑,6XL 建议230-250斤",795750293564	,	,无售后或售后取消,	,	,2021-04-12 00:23:54,否,	,	,	
加肥加大码男装短袖夏季新款胖子t恤国潮潮流宽松嘻哈风上衣学生,210412-659707659491892,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841637576	,"G34黑+G23白,7XL 建议270-310斤",797756287122	,	,无售后或售后取消,	,	,2021-04-12 00:22:41,否,	,	,	
加肥加大码印花束脚裤子2021新款男士潮流百搭休闲运动卫裤男学生,210412-155244299250573,待发货,35.9	,0.0	,0.0	,35.9	,35.9	,1	,	,	,223754188114	,"B68黑,2XL 建议130-150斤",804756794596	,	,无售后或售后取消,	,	,2021-04-12 00:15:25,否,	,	,	
2021新款胖子夏季男装大码打底衫国潮嘻哈中国风五分袖上衣男印花,210412-386094859511357,待发货,77.6	,0.0	,5.0	,72.6	,77.6	,2	,	,	,221069532188	,"G23黑+G28白,6XL 建议240-270斤",798235364673	,	,无售后或售后取消,	,	,2021-04-12 00:15:24,否,	,	,	
夏季加肥加大码男装国潮新款时尚印花潮流学生上衣五分袖透气t恤,210412-152489165810573,待发货,26.8	,0.0	,0.0	,26.8	,26.8	,1	,	,	,219896665455	,"字母W黑,4XL 建议170-200斤",795750293406	,	,无售后或售后取消,	,	,2021-04-12 00:15:14,否,	,	,	
加肥加大码胖子男装夏季新款潮胖子圆领学生短袖宽松t恤情侣半袖,210412-546888745992447,待发货,38.8	,0.0	,0.0	,38.8	,38.8	,1	,	,	,220841614732	,"G24白+G28黑,3XL 建议150-180斤",797752827873	,	,无售后或售后取消,	,	,2021-04-12 00:12:15,否,	,	,	
